Gene Symbol,Relevance score
TMC8,5.06
MIR196A1,5.06
CCAR1,5.06
PSMB4,5.06
CASC15,5.06
ZNF350,5.06
PHKB,5.06
FANCB,5.06
PPM1F,5.05
MUC7,5.05
ARHGEF12,5.05
DMTF1,5.05
CNNM4,5.05
HSPH1,5.05
MED1,5.04
KRIT1,5.04
AKR1B1,5.04
SP110,5.04
RCE1,5.04
CUEDC2,5.04
PNP,5.04
RNF115,5.04
MYOG,5.03
GOLGB1,5.03
USP17L2,5.03
MACROH2A1,5.03
DDX41,5.03
BCORL1,5.03
ZNF318,5.03
SH3PXD2A,5.03
HPSE2,5.03
CHL1,5.03
MIR326,5.03
DCAF17,5.02
SOD3,5.02
ASTN2,5.02
RHOD,5.02
MT-CO3,5.02
PLAAT4,5.02
ARFGEF2,5.01
TPM3,5.01
TNFSF13,5.01
DRD1,5.01
CSAG2,5.01
CLIP1,5.01
H3-3A,5.01
LATS1,5.01
SAGE1,5.01
PPM1E,5.01
PMP22,5
MIR30C1,5
TH,5
KCNJ2,5
RAB11FIP3,5
WNT5B,5
IL23R,5
MAP3K7,5
ITGB2,5
GPR19,5
HYOU1,5
RYR1,5
CYP4Z1,4.99
MIR124-2,4.99
TICAM1,4.99
DDX10,4.99
MIR17HG,4.99
MPP1,4.99
TOPBP1,4.99
TOE1,4.98
FOXQ1,4.98
PA2G4,4.98
BAG3,4.98
MAGEC1,4.98
MIR1-1,4.98
FKBP5,4.98
HEPACAM,4.98
TLR7,4.98
KCNIP3,4.98
PLCB4,4.98
SNHG6,4.98
RORA,4.97
SLAMF1,4.97
SLC2A4,4.97
CD47,4.97
ATP4A,4.97
SCGB3A1,4.96
PTGES,4.96
QSOX1,4.96
APLNR,4.96
CCNT2,4.96
GLDN,4.96
JPH1,4.96
PLCD1,4.96
PER3,4.96
CKB,4.95
NRG3,4.95
CUL2,4.95
THY1,4.95
REV1,4.95
TIE1,4.95
SIRT2,4.95
CAMK2D,4.95
SOX5,4.95
AGA,4.94
LCP1,4.94
FAM189B,4.94
NTN4,4.94
SLC35A2,4.94
LOC110485084,4.94
LOC110485085,4.94
DACH1,4.93
HJURP,4.93
MIR509-1,4.93
PSMC5,4.93
CDK5,4.93
RHD,4.93
SLC1A5,4.93
MT-ATP8,4.92
DENR,4.92
ATP7B,4.92
RPS6KA1,4.91
ZFP64,4.91
MIR4435-2HG,4.91
PEPD,4.91
KTN1,4.91
FGF18,4.9
CSAG3,4.9
TBXT,4.9
IL2RG,4.9
GADD45B,4.9
CR1,4.9
PCDH8,4.9
SCRIB,4.9
GGCT,4.9
ARRDC3,4.89
ICK,4.89
SELENBP1,4.89
MLXIPL,4.89
USP28,4.89
CD70,4.89
PRKCH,4.89
SLC27A5,4.88
HTATIP2,4.88
AGK,4.88
TSPY1,4.88
NEDD9,4.87
WNT8B,4.87
PRSS50,4.87
CDH20,4.87
MIR130B,4.87
MIR489,4.87
PRPF4B,4.87
FUBP1,4.87
ACTA1,4.87
OXTR,4.87
PARN,4.87
TPMT,4.86
PSIP1,4.86
NNMT,4.85
IRF7,4.85
ISL1,4.85
SLC16A7,4.85
SRF,4.85
EPGN,4.84
EEF2,4.84
ORC6,4.84
CCDC88A,4.84
HBP1,4.84
UBD,4.84
BRF1,4.84
GAS1,4.83
FZD1,4.83
ITGB6,4.83
AOPEP,4.83
TREM1,4.83
CLCN1,4.83
ADIPOR2,4.83
ARHGEF5,4.83
EIF4G1,4.83
MMP17,4.82
H3C1,4.82
LAMB1,4.82
MIR133A1,4.81
BCL2L2,4.81
GTF2H1,4.81
MIRLET7A2,4.81
PTK7,4.81
OTOF,4.81
GPX2,4.81
TNKS,4.8
FKBP4,4.8
PBK,4.8
CERT1,4.8
PAX9,4.8
FXR1,4.8
LMOD1,4.8
DNM2,4.8
ARHGAP29,4.8
KIF20B,4.8
SCO2,4.8
PRPF8,4.79
SPN,4.79
NAGLU,4.79
VPS13B,4.79
MAP3K5,4.79
RBBP6,4.79
GNB4,4.79
MAP2K6,4.79
JAG2,4.78
RXRB,4.78
LPIN1,4.78
NENF,4.78
RANBP1,4.77
OGT,4.77
TNFSF12,4.77
PHLDA1,4.77
MCM6,4.77
IRF5,4.77
RAB31,4.77
PPP2R2A,4.76
CDC23,4.76
DUXAP9,4.76
TAF15,4.76
TNFRSF12A,4.76
ORC4,4.76
USF3,4.76
HSD17B4,4.76
IL17F,4.76
CFL2,4.76
PDK1,4.76
MIR7-3,4.76
PLK3,4.76
CD58,4.75
EGLN2,4.75
KLK11,4.75
ALX3,4.75
DLX4,4.75
FZD2,4.75
EPHA5,4.75
EPHX2,4.75
VAV3,4.75
GNA12,4.74
LAMP1,4.74
ZMYND10,4.74
KIF11,4.74
MAPK11,4.74
ARSA,4.73
BRCC3,4.73
COL4A1,4.73
ARID2,4.73
BTG2,4.72
FGF20,4.72
SLC16A4,4.72
ADAMTS15,4.72
ABCC12,4.72
COL19A1,4.72
MAD2L2,4.72
NONO,4.72
DDX53,4.71
VIPR1,4.71
LPCAT1,4.71
NPPA,4.71
RANBP9,4.71
DNAJC6,4.71
FAF1,4.71
CMA1,4.71
PTGER1,4.71
PPHLN1,4.71
ESS2,4.7
FZD3,4.7
CALCR,4.7
SMURF2,4.7
OCRL,4.7
ERAL1,4.7
DOT1L,4.7
ST3GAL4,4.69
MMP15,4.69
IFNGR2,4.69
USP15,4.69
CSPG4,4.69
ARAP3,4.69
CACNA1A,4.69
PEX14,4.69
PLCB2,4.69
CENPF,4.69
CCN3,4.69
ALOX15B,4.69
LTBP1,4.68
SLC26A4,4.68
RHBDD2,4.68
HMBS,4.68
CACNA1H,4.68
DYSF,4.68
IMPA1,4.68
TNFRSF9,4.68
PDIA3,4.67
KCNN4,4.67
NR2F2,4.67
USP36,4.67
ANGPTL4,4.67
RASAL1,4.67
TRADD,4.67
ACKR1,4.67
DRD4,4.67
TCF12,4.67
TRPV1,4.66
CALML4,4.66
SDCBP,4.66
PDLIM7,4.66
PKHD1,4.66
TSHB,4.66
MIR154,4.66
VAC14,4.65
ECE1,4.65
CAPN2,4.65
SP3,4.65
Dec-01,4.65
CBX2,4.64
ALPG,4.64
FST,4.64
HSCB,4.64
FOXP4,4.64
C8orf44-SGK3,4.64
CPOX,4.63
ACAP1,4.63
EEF2K,4.63
TCN1,4.63
B3GALNT2,4.63
ATRIP,4.63
EGFR-AS1,4.62
HAS1,4.62
POLM,4.62
HORMAD1,4.62
NMBR,4.62
ADRB3,4.62
CXCL2,4.62
ZBTB3,4.62
PFKFB3,4.62
GRM6,4.62
BRCATA,4.62
PKN1,4.62
SHARPIN,4.62
FOLR2,4.62
RNF31,4.62
RBP4,4.61
STARD10,4.61
MFF,4.61
LGR6,4.61
CDH10,4.61
ARG1,4.61
INA,4.61
ANXA7,4.61
SMC6,4.61
GPX4,4.6
NOP9,4.6
PKDREJ,4.6
CA12,4.6
HSD17B8,4.6
CAPN1,4.6
TUBA4A,4.6
KCNK9,4.6
PRDX3,4.6
PRKCG,4.59
ABO,4.59
NID2,4.59
PROCR,4.59
ARHGDIA,4.59
PRKAR1B,4.59
SOX17,4.59
RPS3,4.59
DMRT3,4.59
XIRP1,4.59
TOLLIP,4.59
COL4A5,4.59
CENPW,4.59
SAMD9L,4.59
ITGA2B,4.59
E2F6,4.58
CTIF,4.58
BANP,4.58
FLNC,4.58
ADIRF,4.58
NDN,4.58
CDK8,4.58
MADD,4.58
IGKC,4.58
EED,4.58
TRPM7,4.58
KIDINS220,4.57
KIF16B,4.57
PTCPRN,4.57
PTPRT,4.57
FAM3C,4.57
ZFP36L1,4.56
ADCY1,4.56
YWHAQ,4.56
PC,4.56
HSD3B1,4.56
XAF1,4.56
JAKMIP1,4.56
SLC7A7,4.56
PBXIP1,4.56
FABP5,4.55
UBR5,4.55
FAM210A,4.55
GRB10,4.55
THOC1,4.55
BRAP,4.55
MIR101-2,4.55
FOXD2-AS1,4.55
ARCN1,4.54
TXNDC15,4.54
MIR219A1,4.54
CANX,4.54
LYPD3,4.54
PPIG,4.54
IL1R2,4.54
RS1,4.54
NTF4,4.54
P2RY2,4.54
RAD17,4.54
MIR491,4.54
RPL15,4.53
INHBE,4.53
MAP1LC3B,4.53
MYT1,4.53
ADH5,4.53
PF4,4.53
NOBOX,4.53
CHFR,4.52
SRMS,4.52
FGA,4.52
ERC1,4.52
GLUL,4.52
SLC22A9,4.51
ACVR2A,4.51
CTRL,4.51
TBP,4.51
CD79B,4.51
FLT3LG,4.51
ING3,4.51
TPI1,4.51
NOXA1,4.51
PRPF31,4.51
LMO4,4.51
LRRC7,4.51
NEFL,4.5
MAGEA10,4.5
PIM2,4.5
KRT9,4.5
SCAI,4.5
ADRA1A,4.5
FOSL2,4.5
PIK3C2A,4.5
MUC12,4.5
TSHZ2,4.49
MYBL2,4.49
COL4A2,4.49
ATP12A,4.49
PDX1,4.49
CBLB,4.48
NR4A2,4.48
CNGA2,4.48
ALOX15,4.48
KAT2A,4.48
ACHE,4.48
BIK,4.48
DUSP4,4.48
DFFA,4.48
SH3GL1,4.48
MORC2,4.48
RXRG,4.47
TRG,4.47
CAPN9,4.47
NHP2,4.47
SERPINH1,4.47
RPL6,4.47
PRDM5,4.47
MGP,4.47
SET,4.47
ALYREF,4.46
ANKLE1,4.46
CYBB,4.46
PTGER3,4.46
ENSG00000261211,4.46
NTSR1,4.46
RNF14,4.46
IRAK1,4.46
GPSM2,4.46
AHSG,4.45
GP5,4.45
ALS2CL,4.45
FEZF2,4.45
AKAP8,4.45
DNASE1,4.45
P3H3,4.45
SEMA5B,4.44
LDHB,4.44
ABCB5,4.44
NRXN1,4.44
PIWIL4,4.44
NCBP1,4.44
PXMP2,4.44
PINX1,4.44
PPP1CB,4.44
SMURF1,4.44
ZGPAT,4.43
LPAR2,4.43
DDX18,4.43
CREB3L1,4.43
MT-ND1,4.43
HES5,4.43
TAP2,4.43
ACO2,4.43
NLE1,4.43
MAP2,4.42
ENSG00000244953,4.42
FAU,4.42
SIPA1,4.42
ADCY8,4.42
HOXA3,4.42
INSRR,4.42
PGC,4.42
NSUN2,4.42
NFATC2,4.42
FGF21,4.42
IL11RA,4.42
PICALM,4.41
ENOX2,4.41
PIWIL1,4.41
LDHC,4.41
ASS1,4.41
HLCS,4.41
AIFM2,4.41
AKR1C1,4.41
ZAP70,4.41
RRP9,4.41
MCRS1,4.41
HOXD13,4.41
KRT6A,4.41
HOXA1,4.41
POLR2A,4.41
KBTBD8,4.41
CD63,4.41
RAB27A,4.41
CHD4,4.4
PTX3,4.4
MIR425,4.4
GGA1,4.4
RPRD1A,4.39
BLID,4.39
MARCKS,4.39
ZNF281,4.39
ITGA1,4.39
ZBTB20-AS4,4.39
DDX6P1,4.39
LINC02041,4.39
NUTF2P3,4.39
ENSG00000261220,4.39
ENSG00000229962,4.39
ENSG00000284669,4.39
LOC105377769,4.39
TYK2,4.39
RAB23,4.39
CDC37,4.38
FABP7,4.38
SCP2,4.38
NLRP3,4.38
RPS14,4.38
EPHB1,4.38
INPP5K,4.38
VAV1,4.38
LOC102723342,4.37
PPIA,4.37
ABCB8,4.37
PLA2G10,4.37
PTPN22,4.37
MTSS1,4.37
FBXO8,4.37
TCOF1,4.37
ASPSCR1,4.37
SAA1,4.37
CPT2,4.37
SMIM22,4.37
IFNAR2,4.36
AKR1C2,4.36
RPS15,4.36
SELL,4.36
APOA2,4.36
BHLHE40,4.36
MYO6,4.36
RFX2,4.36
IST1,4.36
EIF4B,4.36
SIAH1,4.36
SPAST,4.36
BST2,4.36
MTMR3,4.36
SKA1,4.36
HAX1,4.35
ATXN7,4.35
SRGAP3,4.35
ATG5,4.35
MED14,4.35
CSTA,4.35
KHDRBS1,4.35
USP10,4.35
TLR5,4.35
FTH1,4.35
EIF5A,4.35
SAG,4.35
NEDD4L,4.35
RN7SK,4.34
NTPCR,4.34
NPPB,4.34
TFAM,4.34
BCL9L,4.34
AKAP12,4.34
KCNMA1,4.34
CDK14,4.34
TLL1,4.34
ZMYND11,4.34
UBR4,4.33
PTPRK,4.33
HBA1,4.33
ADAM15,4.33
ITGB5,4.33
RPP38,4.33
C19orf48,4.33
SLC9A2,4.33
SCYL1,4.33
MIR1-2,4.33
GNB1L,4.33
C1R,4.33
CHMP2A,4.32
STEAP2,4.32
TRPC5,4.32
PSMB8,4.32
WDR5,4.32
GGH,4.32
APPBP2,4.31
YES1,4.31
TEKT4,4.31
PPP5C,4.31
POMGNT2,4.31
AQP5,4.31
MIR675,4.31
TAX1BP1,4.31
SMIM31,4.31
MEIS1,4.3
CLDN6,4.3
PDLIM5,4.3
NFATC1,4.3
LRRFIP1,4.3
KCNQ1,4.3
ATAD3A,4.3
CDK2AP1,4.3
JADE3,4.3
UTS2R,4.29
CSNK2B,4.29
ZNF569,4.29
TRPC6,4.29
CTNND2,4.29
ADGRE5,4.29
RACGAP1,4.29
DLG5,4.29
GNPTAB,4.29
PSME3,4.29
SEMA3C,4.29
SMYD3,4.28
FGL1,4.28
RPL11,4.28
PHGDH,4.28
ADCYAP1,4.27
IL15RA,4.27
MSI2,4.27
NR2F1,4.27
RPL18,4.27
FES,4.27
GNG12,4.27
LGALS2,4.27
MAP3K14,4.27
MCPH1,4.26
CFH,4.26
MIR302A,4.26
SLC3A2,4.26
SRD5A3,4.26
CD99,4.26
KIF2A,4.26
TMCO1,4.26
GCLC,4.26
GIPC1,4.26
MAPK13,4.25
NOA1,4.25
CTHRC1,4.25
COL10A1,4.25
MCF2L2,4.25
ABCC5,4.25
NIP7,4.25
CPSF4,4.25
SI,4.25
PPA1,4.25
EPHB3,4.25
ACVRL1,4.25
NPAS2,4.24
ANKRD11,4.24
MT3,4.24
CPNE7,4.24
RBP3,4.24
PLEC,4.24
ARF6,4.24
INSM1,4.23
SND1,4.23
GAL,4.23
NFYC,4.23
LYST,4.23
ARHGEF38,4.23
H19-ICR,4.22
CPSF3,4.22
PLAC1,4.22
WDCP,4.22
PRCC,4.22
KMT2B,4.22
GRIK2,4.22
SDC4,4.22
ACADM,4.22
MYCBP2,4.22
DLG1,4.22
ZKSCAN3,4.22
IL21,4.21
MIR103A1,4.21
AGAP2-AS1,4.21
UPK2,4.21
MAGEE1,4.21
GTF2H2,4.2
CTSH,4.2
TGFBI,4.2
CLASRP,4.2
PSMC4,4.2
RPRD1B,4.2
FUCA1,4.2
GRIK3,4.2
NSMCE2,4.2
RBM10,4.2
TMEM33,4.19
CYB5R4,4.19
FEM1C,4.19
GSTO1,4.19
KLK9,4.19
ADCY9,4.19
PAXIP1,4.19
HEYL,4.19
PKLR,4.19
RPL13,4.19
ERRFI1,4.19
TRAPPC8,4.19
RNF146,4.19
IRF3,4.18
CERK,4.18
ST3GAL6,4.18
NECTIN1,4.18
HOPX,4.18
REPS2,4.18
SAFB2,4.18
NAIP,4.18
VPS72,4.18
RGL1,4.18
MTMR8,4.18
PCDHB15,4.18
MAMDC4,4.18
HUWE1,4.18
DDX39B,4.18
MX1,4.18
PPP2R2B,4.17
G3BP1,4.17
WIPF1,4.17
CHAT,4.17
ADAMTSL3,4.17
A2ML1,4.17
ING4,4.17
ADHFE1,4.17
CITED2,4.17
ITPR2,4.17
EME2,4.17
DEFB4A,4.16
TUSC3,4.16
CLDN2,4.16
CYP51A1,4.16
RPS10,4.16
DGKE,4.16
GTF2A1,4.16
MFSD9,4.16
ZNF25,4.16
EXOC3L1,4.16
ZNF432,4.16
MMP16,4.16
ALDH1A3,4.16
CAMKK2,4.15
BOD1L1,4.15
ATG2B,4.15
FAM83H-AS1,4.15
PUS1,4.15
CRABP1,4.15
LMTK2,4.15
NRG2,4.15
AMD1,4.15
CRY2,4.15
TTC3,4.15
NR4A3,4.15
HACE1,4.14
MT1F,4.14
CHRNG,4.14
SAR1A,4.14
ADORA3,4.14
DCUN1D3,4.14
MAP3K13,4.14
FRS2,4.14
GP1BA,4.14
TAB2,4.14
CDK10,4.14
CEP55,4.13
IL17RB,4.13
MICAL1,4.13
GUCY2F,4.13
DNM1L,4.13
DLK1,4.13
GPATCH2,4.13
MIR455,4.13
DOP1A,4.12
SH2D3A,4.12
COX7A2L,4.12
RTN4,4.12
MUS81,4.12
EIF3D,4.12
LINC01568,4.12
TOR1AIP1,4.12
IMPDH2,4.12
FGF16,4.12
ADCY10,4.12
HAND2-AS1,4.11
WNT9B,4.11
EPS8,4.11
UNC5C,4.11
LAMB2,4.11
HOXB7,4.11
GNAI2,4.11
ACSL3,4.11
SLC52A3,4.1
FLOT1,4.1
ACKR4,4.1
TRRAP,4.1
CABLES1,4.1
UTS2,4.1
NOX4,4.1
GNAI1,4.1
NOP10,4.1
CAPG,4.1
BCL2A1,4.1
NLRC5,4.1
ALMS1,4.1
SORBS1,4.09
MEST,4.09
NOB1,4.09
TES,4.09
PRUNE1,4.09
GSTM2,4.09
SERPINA6,4.09
PTMA,4.08
ATXN2,4.08
MAP1B,4.08
AURKC,4.08
ARF1,4.08
ZNF644,4.08
GNL3,4.08
SUPT3H,4.08
MAGEA2,4.08
GFRAL,4.08
SENP1,4.08
MEGF8,4.08
SOCS2,4.08
CASC11,4.08
EIF5,4.07
RUFY1,4.07
TYRO3,4.07
TNFSF4,4.07
IVL,4.07
LONP1,4.07
ARHGEF7,4.07
HIF1AN,4.07
CARS1,4.07
ZNF224,4.06
POR,4.06
SMARCC2,4.06
C1QB,4.06
GALNT3,4.06
ADCY5,4.06
CNR2,4.06
ANLN,4.06
KMT5A,4.05
EIF4A2,4.05
MIR584,4.05
GOLPH3,4.05
RPS24,4.05
TUBB1,4.05
SLC6A2,4.05
ARFRP1,4.05
RRM2B,4.05
OLR1,4.05
SLC7A1,4.05
DTX3L,4.05
SPRY2,4.05
EYA4,4.04
CYFIP1,4.04
TNKS2,4.04
POLR2F,4.04
F11R,4.04
BRD7,4.04
ASNS,4.04
NME8,4.04
PCID2,4.04
PTPN2,4.04
COTL1,4.04
SRPK1,4.04
TRMT10A,4.04
SYTL2,4.04
MIR590,4.03
FBLN2,4.03
NLRP9,4.03
DHRS2,4.03
UBA1,4.03
ST3GAL1,4.03
ITCH,4.03
DCD,4.03
RPTOR,4.02
RASSF2,4.02
QKI,4.02
PVALB,4.02
ICOS,4.02
PPP1CA,4.02
LRRK2,4.01
F2RL3,4.01
HNRNPD,4.01
VAV2,4.01
DHX32,4.01
NOS1,4.01
GALNS,4.01
LHX3,4.01
RAP2A,4
GNE,4
CKS2,4
PPP1R14C,4
CNOT2,4
CCNT1,4
ALDH1L1,4
CDA,4
MAGOHB,4
MIR362,4
TNFRSF4,3.99
KIAA1671,3.99
NAB2,3.99
MAL,3.99
RRP1B,3.99
PPP1R9B,3.99
KCNJ3,3.99
LINC-PINT,3.99
RFC3,3.98
CTC1,3.98
ANGPTL8,3.98
LRRC3B,3.98
PRSS8,3.98
PRG2,3.98
GRIP1,3.98
SDC2,3.98
HSPB2,3.98
GPR35,3.98
BTD,3.97
FRMPD1,3.97
NEO1,3.97
ERN1,3.97
NR2E3,3.97
DOK1,3.97
NOP16,3.97
XAGE2,3.97
ACSL5,3.97
SPAG6,3.97
VTRNA2-1,3.97
HELZ,3.96
TRIM33,3.96
GLUD1,3.96
NPBWR1,3.96
CFI,3.96
RPS15A,3.96
FBP1,3.96
TEAD1,3.96
TRAP1,3.96
IL33,3.96
NME2,3.96
MIR20B,3.96
PRSS2,3.96
PHB2,3.95
MT1E,3.95
WWP1,3.95
SIPA1L1,3.95
WFS1,3.95
EIF4A1,3.95
CAMK2B,3.95
CAST,3.95
DDX17,3.95
TFR2,3.95
TMPRSS4,3.95
MPG,3.95
AGRN,3.95
NHS,3.95
PIK3R5,3.95
CCDC6,3.95
DAZAP1,3.95
UQCC1,3.94
TUBB6,3.94
LMNB1,3.94
PTGIS,3.94
HOXA4,3.94
TMEM161A,3.94
KIF26B,3.94
CACNA1C,3.94
RPS6KA6,3.94
FCRL3,3.94
ABL2,3.94
TOP2B,3.94
PSMA7,3.94
PIK3C2G,3.93
APOL1,3.93
NDUFA2,3.93
SCAP,3.93
UCP2,3.93
EPHA10,3.93
UBB,3.93
HYAL2,3.93
USP22,3.93
AFDN,3.93
SULT1A2,3.93
BRS3,3.93
ANKK1,3.93
VASP,3.92
KCNJ1,3.92
BRD3,3.92
SELENOP,3.92
MAPRE1,3.92
UPK3A,3.92
RANBP2,3.92
PTPRU,3.92
EIF3E,3.92
PFKM,3.92
DPM1,3.92
NEK10,3.91
EPRS1,3.91
EYA1,3.91
TJP2,3.91
RUVBL1,3.91
GBA,3.91
PAK6,3.9
EOMES,3.9
RPL26,3.9
NUTM1,3.9
CDK12,3.9
CCNG2,3.9
IKZF3,3.9
FIP1L1,3.9
IGHM,3.9
ACTA2-AS1,3.9
COG3,3.9
BOC,3.9
H2AC20,3.89
SIK2,3.89
DNAJB6,3.89
ANP32D,3.89
BAGE,3.89
BPHL,3.89
C3orf35,3.89
PRMT2,3.89
HSPA1B,3.89
GABRA2,3.89
MIR409,3.88
ESPL1,3.88
C3,3.88
PTBP1,3.88
SEMA4F,3.88
CHD1,3.87
RPS29,3.87
SCARB1,3.87
WWC1,3.87
GLS2,3.87
FOXF1,3.87
LNPEP,3.87
SMS,3.87
S1PR1,3.87
AQP8,3.87
MYEOV,3.87
SLC22A3,3.87
MIR299,3.86
CALM2,3.86
HCK,3.86
PIWIL2,3.86
HOXD10,3.86
GGA3,3.86
CD248,3.86
NAB1,3.86
PDHA1,3.85
CCNC,3.85
HOOK1,3.85
ANP32C,3.85
PMEPA1,3.85
RPS26,3.85
VMP1,3.85
CPT1A,3.85
PTPRE,3.85
TSPAN4,3.85
STXBP4,3.85
FOXA2,3.85
LCAT,3.85
MAT2A,3.85
ANAPC1,3.85
ASXL2,3.85
CNDP2,3.85
CARD11,3.85
NUP85,3.84
SUMO1,3.84
ASPN,3.84
HECTD4,3.84
SRSF3,3.84
IGFALS,3.84
SPANXA1,3.84
HTRA3,3.84
APCS,3.83
KRBOX4,3.83
ATP10B,3.83
MIR7-2,3.83
TREX1,3.83
IL27,3.83
RIPK4,3.83
ID3,3.83
MGLL,3.83
SPAG9,3.83
ARHGEF11,3.83
COL4A6,3.83
ALPI,3.83
PLA2G7,3.83
MIR217,3.83
LAMA5,3.83
CEMIP2,3.82
AP1M1,3.82
FAT2,3.82
PCLAF,3.82
PPARGC1B,3.82
MN1,3.82
TEP1,3.81
TNS4,3.81
DOCK1,3.81
BTG1,3.81
YWHAG,3.81
PTOV1,3.81
POU4F1,3.81
CST4,3.81
FERMT2,3.81
NAP1L4,3.81
STRBP,3.81
PLAGL1,3.8
NMI,3.8
TNNI3,3.8
CSTB,3.8
CDS1,3.8
MIR454,3.8
FIG4,3.79
NCAPG,3.79
SUV39H2,3.79
KIF4A,3.79
CFHR5,3.79
VOPP1,3.79
FAM107A,3.79
IGHV4-38-2,3.79
CTNNBIP1,3.79
DHTKD1,3.78
TPTE,3.78
YWHAB,3.78
HOOK3,3.78
SCGB3A2,3.78
KDM4A,3.78
STARD3,3.78
LMO7,3.78
SPG7,3.78
FBXO31,3.78
CERS2,3.78
PSMD9,3.78
TRPC4,3.77
LYPD1,3.77
LOXL4,3.77
MBD3,3.77
RUFY3,3.77
MRAS,3.77
KLF8,3.77
TP53INP1,3.77
USH2A,3.77
TMSB4X,3.77
ARRB2,3.77
GOLIM4,3.77
ADAM11,3.77
SDF4,3.77
BCHE,3.77
IRF6,3.77
PARVA,3.76
PEAK1,3.76
SLC25A4,3.76
ABCC6,3.76
UVSSA,3.76
POLI,3.76
ARID4A,3.76
TRAF7,3.76
CHRND,3.76
INTS6,3.76
LAS1L,3.76
SEM1,3.76
IL23A,3.76
MROH7,3.75
ZNF532,3.75
CIT,3.75
RLN2,3.75
GPR180,3.75
REN,3.75
RALY,3.75
USB1,3.75
FGF22,3.75
SOST,3.75
MSMP,3.75
LTBP4,3.75
TLR1,3.75
RN7SL1,3.75
MAG,3.75
PYY,3.75
TRIB3,3.75
ACOX1,3.75
RABL6,3.75
OSBPL11,3.74
ANTXR2,3.74
GAS7,3.74
MTHFD1L,3.74
GPT2,3.74
MAMLD1,3.74
RBM39,3.73
MGAT5,3.73
KIFC1,3.73
FTL,3.73
POLDIP2,3.73
BOK,3.73
SUV39H1,3.73
VDAC1,3.73
TLR6,3.73
EBF1,3.73
PARD3,3.73
IRF2,3.73
ACLY,3.73
ST20,3.73
SESN2,3.73
IVD,3.72
GSTZ1,3.72
ARHGAP26,3.72
PWRN1,3.72
CBX5,3.72
CREB3,3.72
LY96,3.72
S1PR3,3.72
RPS28,3.72
DEFB1,3.72
PNLIPRP1,3.72
NOLC1,3.72
KPNB1,3.72
SLC22A1,3.72
TSC22D4,3.71
WDR77,3.71
ARHGDIB,3.71
FARP1,3.71
HEPACAM2,3.71
DAXX,3.71
SLC22A5,3.71
DCTN1,3.71
ELL,3.71
SRSF2,3.71
SNW1,3.71
CLTC,3.71
CT45A1,3.7
SCARF2,3.7
KRTAP10-8,3.7
EN1,3.7
LGALS7,3.7
NOX1,3.7
ARRB1,3.7
PPP1R13B,3.7
MAPKAPK2,3.7
ATP2C2,3.7
ITPKC,3.7
PTPRR,3.7
CDK11A,3.69
ZYX,3.69
CTBP1-AS,3.69
NSD3,3.69
PADI3,3.69
UVRAG,3.69
GNAI3,3.69
CELA1,3.69
CCT4,3.69
KPNA1,3.69
TTF2,3.69
DIAPH1,3.69
GPC2,3.69
TFAP2D,3.69
E2F7,3.69
NOG,3.68
OSTC,3.68
UFD1,3.68
H2AC4,3.68
FLOT2,3.68
GNG5,3.68
RALGDS,3.68
PCGF2,3.68
MAP3K11,3.68
GCC2,3.68
UGT1A6,3.68
GSTO2,3.68
STAT2,3.68
DMP1,3.68
RLIM,3.68
RREB1,3.67
DGKG,3.67
CHAC1,3.67
HNRNPU,3.67
HEY2,3.67
MIR506,3.67
HTR1B,3.67
MCM8,3.67
NR0B2,3.67
IL1RL1,3.67
RPRM,3.67
LIMD2,3.67
CENPA,3.67
MICAL2,3.66
PCSK7,3.66
VGF,3.66
RNF11,3.66
ADAT3,3.66
NDUFA8,3.66
PIGS,3.66
MAGEA9,3.66
SERBP1,3.66
RND2,3.66
ARFGAP3,3.66
CCL1,3.66
SMPD1,3.66
CSNK1A1L,3.66
NARS2,3.66
EFNA5,3.65
RPS6KA2,3.65
WASL,3.65
LRAT,3.65
RPL35,3.65
MBTPS2,3.65
FIBP,3.65
DOLK,3.65
RASL10B,3.65
CUTC,3.65
FXYD5,3.65
MT1X,3.65
PI3,3.64
SULT1A3,3.64
ZBTB7A,3.64
EPHA8,3.64
UROD,3.64
GALC,3.64
MUC17,3.64
COL4A3,3.64
MYOF,3.64
MTHFD2,3.64
TARDBP,3.64
SLC22A2,3.64
CSPP1,3.64
NELFB,3.64
LGALS9,3.63
RGCC,3.63
TAF8,3.63
GFER,3.63
DDX1,3.63
ACAT1,3.63
MNDA,3.63
ATG7,3.63
GABRA4,3.63
USP54,3.62
ATP2B4,3.62
H2AC1,3.62
NLRP1,3.62
ZNF22,3.62
CASZ1,3.62
TOP3B,3.62
RPGR,3.62
KIF2C,3.62
C5,3.62
ARHGEF6,3.62
IL22,3.61
KIF6,3.61
PRRT1,3.61
FRAS1,3.61
THEMIS2,3.61
WAC,3.61
PSMB9,3.61
SOX18,3.6
UBE2V2,3.6
HLA-E,3.6
PEG3,3.6
MC2R,3.6
CDCA7,3.6
AGTR2,3.6
CD109,3.6
PRDX4,3.6
UNC5B,3.6
ABCF2,3.6
CELF1,3.6
HIPK1,3.6
PCBP1,3.6
C16orf58,3.6
DMXL2,3.59
KARS1,3.59
PRKACG,3.59
MCM9,3.59
NAA25,3.59
HOXB9,3.59
H1-0,3.59
FBN2,3.59
SLC39A12,3.59
CGB7,3.59
GART,3.59
