,gene1,gene2,weight
41881,TLR3,CCR5,1
41882,FGF8,IHH,1
41883,XRCC6,EGFR,1
41884,CASP8,CDK4,1
41885,KIT,EGR1,1
41886,TWIST2,RUNX3,1
41887,DAPK1,CDH1,1
41888,BTC,ADAM10,1
41889,XRCC3,GSTP1,1
41890,ARID1A,EZH2,1
41891,AREG,PTGS2,1
41892,BDNF,PAX6,1
41893,CXCR4,INS,1
41894,XPO1,EEF1A1,1
41895,EXT1,TBX5,1
41896,BCL2L1,MFN2,1
41897,ITGA6,ITGA2,1
41898,PLAT,TIMP1,1
41899,CTTN,MMP2,1
41900,PTEN,MAPK7,1
41901,FOXP3,PLK1,1
41902,IL6,ADAM17,1
41903,NOTCH1,MMP2,1
41904,GRB2,ADAM12,1
41905,SNAI2,SFRP2,1
41906,RUNX2,APOE,1
41907,EFNA3,PLXND1,1
41908,IL5,KITLG,1
41909,CDKN1C,CCNG1,1
41910,MME,ZMPSTE24,1
41911,IGF2R,GZMB,1
41912,ACTA2,ELN,1
41913,PTGS2,TIMP1,1
41914,L1CAM,ERBB3,1
41915,BRCA2,CCND1,1
41916,FGF1,AKT1,1
41917,NR1I2,CDK2,1
41918,SOD2,MAPK1,1
41919,BGN,MMP13,1
41920,TBX5,SHH,1
41921,SDHD,IDH2,1
41922,GHRH,SSTR1,1
41923,VIM,ANXA2,1
41924,COMT,CYP1A2,1
41925,ATRX,DNMT3A,1
41926,CEBPB,EGFR,1
41927,KIT,CHGA,1
41928,INS,CASP9,1
41929,ENO2,BDNF,1
41930,TNF,CASP10,1
41931,MAD2L1,RBX1,1
41932,XPA,PPM1D,1
41933,PPT1,ZMPSTE24,1
41934,FOXP3,YY1,1
41935,MKI67,IFNG,1
41936,GATA3,AURKA,1
41937,EGR1,GAPDH,1
41938,RDX,CTTN,1
41939,MMP1,GAPDH,1
41940,COL7A1,MMP2,1
41941,AXL,MFGE8,1
41942,MAP2K1,FGF2,1
41943,CD34,CCL2,1
41944,DSP,KRT19,1
41945,MAGEA1,FBXW7,1
41946,HSD17B1,FSHR,1
41947,HIF1A,NCOA2,1
41948,NGF,IL4,1
41949,HSPA4,MAPK1,1
41950,MBP,CASP3,1
41951,BMP7,WNT5A,1
41952,MYC,TOP2A,1
41953,GLI3,DDB2,1
41954,MKI67,POLQ,1
41955,PROM1,MGMT,1
41956,INS,CXCL12,1
41957,HRAS,TLR9,1
41958,CREB1,MTOR,1
41959,HRAS,ACTB,1
41960,DUSP6,SIX1,1
41961,IL10,MKI67,1
41962,PTCH1,EGFR,1
41963,AKT1,HDAC6,1
41964,STMN1,CCNA2,1
41965,PAX3,FGF8,1
41966,AREG,CXCL8,1
41967,HRAS,EIF4EBP1,1
41968,TNFSF13B,SYK,1
41969,SPARC,VTN,1
41970,ITGA5,EGFR,1
41971,MYC,SOX9,1
41972,AKT1,CSF1,1
41973,TLR4,IL1A,1
41974,IGF1R,VHL,1
41975,NOD2,OLFM4,1
41976,LDLR,CLDN1,1
41977,EZH2,WNT10B,1
41978,NF1,TSC1,1
41979,MECP2,EHMT2,1
41980,BIRC2,CCND1,1
41981,SULF2,WNT3A,1
41982,IGF1,TTR,1
41983,CREB1,CCR5,1
41984,DRD2,CRH,1
41985,NQO1,CASP3,1
41986,ACVR1B,BMP15,1
41987,MBP,CD68,1
41988,AKT1,IDH1,1
41989,GRIN2B,FOS,1
41990,CREB1,HDAC4,1
41991,HSPA8,ILK,1
41992,CXCR3,CD38,1
41993,MITF,CTSK,1
41994,NGF,FGF3,1
41995,S100A7,EGFR,1
41996,PTPRJ,CDH1,1
41997,TRAF3,FADD,1
41998,TGM2,EGFR,1
41999,SMAD3,EGFR,1
42000,HSPD1,PRDX5,1
42001,CHEK2,CCNA1,1
42002,PMS2,APEX1,1
42003,MACF1,AXIN1,1
42004,TIMP4,MMP11,1
42005,TNF,PTH,1
42006,MYC,GRN,1
42007,BTK,PIK3CG,1
42008,ANPEP,VCAM1,1
42009,GRB2,RB1,1
42010,CDKN2A,KMT2D,1
42011,CDK1,MDM4,1
42012,MYCN,EGFR,1
42013,MYC,CHUK,1
42014,RECQL,TOP2A,1
42015,SRC,ENG,1
42016,FOXP3,STUB1,1
42017,FBXW7,ERBB2,1
42018,DDR2,MMP1,1
42019,PTGS2,CYCS,1
42020,ERBB3,MDM2,1
42021,XRCC2,FANCM,1
42022,CAV1,GAPDH,1
42023,MAPK9,HSPB1,1
42024,IHH,BMP6,1
42025,EPHB2,MAPK1,1
42026,MMP9,ITGA5,1
42027,CDK6,CHKA,1
42028,AGTR1,ALB,1
42029,PROM1,ERBB2,1
42030,CD24,KRT14,1
42031,NSD1,EP300,1
42032,HRAS,TP73,1
42033,B2M,BMPR1A,1
42034,PTPRC,TP53,1
42035,ZEB2,SMAD4,1
42036,ITGAL,KLRK1,1
42037,APOBEC3G,IFNG,1
42038,STAT5A,CASP3,1
42039,SELE,CXCL10,1
42040,ORC1,WRN,1
42041,SPINT1,CDH1,1
42042,SOX10,GSK3B,1
42043,MYH11,IGF1,1
42044,UHRF1,TET2,1
42045,INS,WNK1,1
42046,ZEB1,CCND1,1
42047,KRT19,FBLN1,1
42048,PLG,CDCP1,1
42049,PLG,MAPK3,1
42050,CD5,CCR7,1
42051,VIP,SSTR1,1
42052,TNFRSF1B,TLR2,1
42053,CDC25A,STAT5B,1
42054,CD1D,IFNG,1
42055,TP53,MCM2,1
42056,HSP90AA1,HSPB8,1
42057,GSTP1,UGT1A1,1
42058,VCP,HNRNPA2B1,1
42059,GRB2,CASP7,1
42060,MAPK8,LGR5,1
42061,FMR1,AMH,1
42062,KLF6,MMP14,1
42063,SRC,AMPH,1
42064,KRT19,KRAS,1
42065,KDM1A,PLK1,1
42066,SPP1,CLU,1
42067,RAPH1,EGFR,1
42068,DDIT3,DNTT,1
42069,PTK2,APC,1
42070,TMPRSS2,CYP17A1,1
42071,MITF,CSF1R,1
42072,MYD88,SOCS3,1
42073,SETD2,ATRX,1
42074,REV3L,BLM,1
42075,CD44,ACTB,1
42076,ATF3,MDM2,1
42077,HMGA2,NKX2-1,1
42078,CD40LG,IL3,1
42079,TIMELESS,RRM2,1
42080,SOX2,ALCAM,1
42081,CLU,MSR1,1
42082,WNT1,FGF2,1
42083,PRKD1,DLC1,1
42084,TLR2,GZMB,1
42085,STAT5A,CCR5,1
42086,MYC,PAX6,1
42087,SMARCB1,AURKA,1
42088,HSP90AA1,CASP9,1
42089,FOXO1,HDAC4,1
42090,MBP,SYP,1
42091,SERPINB2,ALB,1
42092,ELN,NOS3,1
42093,BRCA1,MELK,1
42094,CYP1B1,AIP,1
42095,ENG,SOX9,1
42096,RBL2,MCM5,1
42097,LMNA,ANXA5,1
42098,PROM1,JAG1,1
42099,MCM3,MKI67,1
42100,ACTN4,TSG101,1
42101,CASP1,MAPK14,1
42102,SELE,APOE,1
42103,TWIST1,TIMP1,1
42104,HP,DLC1,1
42105,BRAF,TNS1,1
42106,SNAI2,FSCN1,1
42107,GATA2,SIX1,1
42108,MMP9,CDH5,1
42109,FBLN1,THBS1,1
42110,IGF2R,INSR,1
42111,PROS1,SERPINC1,1
42112,FGFR1,TACC1,1
42113,TCF4,SOX9,1
42114,AKT1,AXIN2,1
42115,BCL2L1,CDKN1B,1
42116,CXCR4,CD80,1
42117,ETV4,POU5F1,1
42118,ESR2,CYP11A1,1
42119,MET,TNFRSF10B,1
42120,RECQL,CHEK1,1
42121,CDX2,NFKB1,1
42122,IDH2,PIK3CA,1
42123,MMP13,IBSP,1
42124,GATA4,SMAD2,1
42125,CCNE1,CREBBP,1
42126,IGFBP3,SERPINE1,1
42127,STAT3,TNS1,1
42128,GFAP,SOD1,1
42129,ITGA6,ALDH1A1,1
42130,RNF43,AXIN2,1
42131,LRBA,CTLA4,1
42132,UHRF1,KIF15,1
42133,RASSF1,PRKDC,1
42134,STAT3,IL5,1
42135,SRC,EDNRA,1
42136,RAF1,CCND1,1
42137,VTN,DCN,1
42138,FOS,GDF15,1
42139,KRT18,FN1,1
42140,SELP,TLR2,1
42141,EZH2,KLK3,1
42142,BMP7,IBSP,1
42143,HK1,LEP,1
42144,HSPA8,STMN1,1
42145,COMT,FGF2,1
42146,COL1A2,BMP6,1
42147,SELE,ANGPT2,1
42148,ACTB,CCNB1,1
42149,ESR1,BMPR2,1
42150,MYC,GATA4,1
42151,EP300,SNAI1,1
42152,HTR3A,CRH,1
42153,KRT18,CFTR,1
42154,CHEK1,GEN1,1
42155,CTLA4,EGFR,1
42156,DSP,CTNNB1,1
42157,TNFAIP3,BCL3,1
42158,HIPK2,MBP,1
42159,WEE1,CCNH,1
42160,IL11,FLT3,1
42161,BCL10,SOCS3,1
42162,IGF1,IL4,1
42163,FOXM1,WNT3A,1
42164,ZFP36,JUN,1
42165,KITLG,IL2,1
42166,AFP,BUB1B,1
42167,GSK3B,CDKN1B,1
42168,BCL2L11,FAS,1
42169,CCNG1,CDK4,1
42170,PAX5,CTCF,1
42171,NTS,APOB,1
42172,ANPEP,ICAM1,1
42173,CASP9,HSPB1,1
42174,RUNX2,POU5F1,1
42175,GTF2H5,POLR3A,1
42176,FOS,MMP10,1
42177,LDLR,CTNNB1,1
42178,HSPA4,GZMB,1
42179,HSP90AA1,XBP1,1
42180,SOX10,BMP2,1
42181,NF2,LZTR1,1
42182,PRLR,PGR,1
42183,TGFBR2,MSH2,1
42184,GHRL,NTS,1
42185,GDNF,SLC6A3,1
42186,RNF43,TCF7L2,1
42187,ANXA5,TNFRSF1A,1
42188,IL15,FLT3,1
42189,CD9,ADAM10,1
42190,BMP2,WNT6,1
42191,STIM1,TRPV6,1
42192,TBL1XR1,AR,1
42193,MAPT,EGFR,1
42194,INS,CSF3,1
42195,RAD50,MSH3,1
42196,SYP,TG,1
42197,GLI2,SMAD4,1
42198,FSCN1,SRC,1
42199,PTPRC,MAPK1,1
42200,VEGFA,SOX2,1
42201,CD44,GATA3,1
42202,ROS1,NF1,1
42203,MYD88,PTGS2,1
42204,BECN1,TNS1,1
42205,WNT2,EGF,1
42206,JUN,TOP1,1
42207,SOCS1,PIAS1,1
42208,MMP14,CSF3,1
42209,STAT5A,IL13,1
42210,MAPK8,MMP3,1
42211,HDAC6,MFN2,1
42212,NR0B1,CTNNB1,1
42213,ETS1,NR3C1,1
42214,EP300,TWIST1,1
42215,NANOG,GLI1,1
42216,RAD54L,MCM5,1
42217,PECAM1,THBD,1
42218,NRAS,USP9X,1
42219,STIM1,ATP2C1,1
42220,HLA-B,TNF,1
42221,NR0B1,TBX3,1
42222,OCA2,CSF1R,1
42223,SCT,CFTR,1
42224,MET,FASN,1
42225,MUC1,PIP,1
42226,ROBO1,SHH,1
42227,NCOA1,CDK2,1
42228,BECN1,XBP1,1
42229,WEE1,CUL1,1
42230,ORC1,CDK4,1
42231,ARHGAP11A,FOXM1,1
42232,CCK,SSTR2,1
42233,XRCC2,PRKDC,1
42234,PRKAA2,SIRT1,1
42235,KDR,JAG1,1
42236,MAPK3,SIRT1,1
42237,CHEK1,ARHGAP11A,1
42238,EGF,SLC9A3R1,1
42239,ICAM1,CDH1,1
42240,CDKN1C,IGF2R,1
42241,MAP3K1,GRB2,1
42242,CD40LG,F2,1
42243,CD1D,IL5,1
42244,ANGPT1,KITLG,1
42245,TOP2A,APEX1,1
42246,ANXA2,TLR2,1
42247,VHL,AURKA,1
42248,CD1D,IL18,1
42249,VIP,UCHL1,1
42250,WNT7A,NOTCH1,1
42251,TGFB2,SMAD7,1
42252,RAD51,NTHL1,1
42253,SRC,ACKR3,1
42254,SOCS1,TLR2,1
42255,WEE1,TP53BP1,1
42256,MAP2K1,GNAQ,1
42257,CDKN1A,XRCC6,1
42258,CD247,SH2B3,1
42259,PRKAR1A,NF1,1
42260,ALDH1A1,AURKA,1
42261,CD9,HSPA4,1
42262,IL6,CTSB,1
42263,PRKCD,CDCP1,1
42264,TP53,CDC25B,1
42265,HSP90AA1,TSG101,1
42266,MCL1,CDK4,1
42267,ZEB2,CD44,1
42268,IDO1,IRF1,1
42269,AGT,TIMP1,1
42270,BRCA1,LMNA,1
42271,NGF,VIP,1
42272,MAPK8,WNT2,1
42273,CALB2,NAPSA,1
42274,ADRB2,MDM2,1
42275,GLI2,SMAD2,1
42276,GAPDH,GLI1,1
42277,APP,AMBP,1
42278,CD9,MFGE8,1
42279,COL11A1,SPARC,1
42280,ROCK1,CDC25A,1
42281,ABCB1,MTHFR,1
42282,G6PD,SOD1,1
42283,GAPDH,KEAP1,1
42284,HMGCR,CAT,1
42285,SMARCA4,PTCH1,1
42286,TFRC,ACTB,1
42287,GSTP1,HIC1,1
42288,TOP2A,PRKCB,1
42289,AKT1,SATB1,1
42290,SMARCA4,ZEB1,1
42291,MAPK9,ATF3,1
42292,GATA3,CXCR3,1
42293,FGFR1,CHD7,1
42294,PECAM1,AFP,1
42295,GAPDH,IFNG,1
42296,CSF3R,FLT3,1
42297,CASP3,TLR2,1
42298,TGFBR2,TP53,1
42299,NRG1,EGR1,1
42300,AMPH,RCVRN,1
42301,MAP3K1,PTEN,1
42302,FANCD2,PIAS1,1
42303,CDX2,ANPEP,1
42304,NCOR2,STAT5A,1
42305,ALK,GNAQ,1
42306,CCNG1,DDB2,1
42307,IL6,ALOX5,1
42308,CDKN2A,GNAS,1
42309,ACE,PPARG,1
42310,KDM1A,PMS2,1
42311,ACE,MMP2,1
42312,ACVR1B,SMAD1,1
42313,MYC,DNTT,1
42314,PDPN,KDR,1
42315,MAPK3,IL4,1
42316,CYP19A1,BMP15,1
42317,BRCA1,G6PD,1
42318,DUSP6,SIRT1,1
42319,ALK,PKM,1
42320,SIK3,HDAC5,1
42321,ITGB1,CCND1,1
42322,CCL5,CD28,1
42323,XPA,ATRX,1
42324,SLC2A1,ALDOA,1
42325,CDH1,MMP11,1
42326,CDKN1A,CDH1,1
42327,DVL1,PTH1R,1
42328,PTEN,NOTCH3,1
42329,CASP7,TNFRSF10A,1
42330,SRC,PTGER4,1
42331,FGFR4,CDH2,1
42332,GAPDH,SERPINE1,1
42333,AKT1,KLK3,1
42334,RBL2,SIRT1,1
42335,XDH,MPO,1
42336,XIAP,HNRNPA1,1
42337,TIMP2,CCL2,1
42338,FLNA,LMNA,1
42339,XIAP,EGFR,1
42340,TSHR,EXT1,1
42341,HNF4A,G6PC,1
42342,PDGFA,TGFB1,1
42343,GLI2,SOX9,1
42344,LPL,CRP,1
42345,CYP19A1,TP53,1
42346,VEGFA,IDO1,1
42347,TNFAIP3,IL1A,1
42348,FOXO3,CASP9,1
42349,KRT8,CDX2,1
42350,FTO,IL6,1
42351,MYH11,TGFBR1,1
42352,PHB,CALR,1
42353,CDK1,FLNA,1
42354,STAT4,CD247,1
42355,RAD54L,GEN1,1
42356,PECAM1,CSF3,1
42357,MYC,BIRC2,1
42358,CYP19A1,EGF,1
42359,MT-ND3,CYCS,1
42360,CXCR4,MIF,1
42361,KDR,CDH1,1
42362,CD1D,CCR5,1
42363,BCL6,EZH2,1
42364,EZH2,RUNX1,1
42365,MKI67,ALB,1
42366,AREG,CCND3,1
42367,BGN,MMP3,1
42368,MACF1,HEATR6,1
42369,ACACA,RPS6KB1,1
42370,CAV1,GLI1,1
42371,BMP7,GATA3,1
42372,DNMT1,MTA1,1
42373,TNFSF13B,CTLA4,1
42374,SPTAN1,MAPK10,1
42375,NGF,CXCL8,1
42376,PTPRC,IL16,1
42377,MDM2,MAPK14,1
42378,ACTA2,ACTB,1
42379,MYC,TPD52,1
42380,GLI2,RPS6KB1,1
42381,GLI3,MAPK1,1
42382,PGR,GAPDH,1
42383,FGFR2,BRCA2,1
42384,FOS,NFKBIA,1
42385,WEE1,RRM1,1
42386,UBE2T,BARD1,1
42387,MSX1,FOXE1,1
42388,MAPT,ALB,1
42389,TBX5,ACTC1,1
42390,SOX2,ERBB2,1
42391,ROCK1,HNF4A,1
42392,TNFSF13B,IL7,1
42393,CCNB2,SKP2,1
42394,NOTCH1,IL7,1
42395,AKT1,KISS1,1
42396,SOX11,POU5F1,1
42397,TXN,MTOR,1
42398,NCOA4,NCOA2,1
42399,KLF4,DNMT3B,1
42400,VIM,ITGB4,1
42401,ENO2,SOD1,1
42402,ING1,CLDN7,1
42403,HSPD1,NOS3,1
42404,PTPN14,CDH1,1
42405,TOP1,RPA1,1
42406,ERCC2,MSH3,1
42407,MYC,BIRC3,1
42408,CSF3R,STAT5A,1
42409,AGT,CCL2,1
42410,RHOB,MAPK1,1
42411,XRCC5,ERCC2,1
42412,BRCA1,CASP9,1
42413,FOXP1,XPO1,1
42414,ESR1,GSTP1,1
42415,CCK,LEPR,1
42416,LEP,NR3C1,1
42417,GRB2,MAPK12,1
42418,S100A4,BNIP3,1
42419,NF1,IDH2,1
42420,ALPL,FN1,1
42421,CD44,MAPK1,1
42422,CASK,ID1,1
42423,CD86,VCAM1,1
42424,NCOA2,STAT6,1
42425,PENK,CHGA,1
42426,FTO,LEPR,1
42427,PECAM1,CD86,1
42428,AKT2,INPPL1,1
42429,CCR3,TNF,1
42430,FOXE1,SLC5A5,1
42431,SETD2,HDAC4,1
42432,AR,ATF3,1
42433,HSF1,SMARCA4,1
42434,NOTCH2,BMP4,1
42435,HRAS,GJA1,1
42436,ATRX,PTEN,1
42437,MME,ESR1,1
42438,CHUK,EP300,1
42439,GLI3,E2F1,1
42440,KLF5,TBX3,1
42441,TNF,BCL2L11,1
42442,CXCR4,MMP10,1
42443,CD14,F13A1,1
42444,CTNNB1,CDK4,1
42445,RUNX2,CSF2,1
42446,NPM1,YY1,1
42447,NF2,MAPK3,1
42448,CD2AP,RPS27A,1
42449,CREB1,POLB,1
42450,APP,GRN,1
42451,CYP19A1,IGF1R,1
42452,EGF,OSM,1
42453,KRAS,CDKN1B,1
42454,HSPA8,TGM2,1
42455,FOXO1,JUN,1
42456,HK1,IDH1,1
42457,VEGFA,EGR1,1
42458,FEN1,CDK7,1
42459,IL18,CD68,1
42460,PRKDC,FANCM,1
42461,HFE,DNMT3A,1
42462,TP53BP1,MED12,1
42463,EGFR,CCNA2,1
42464,NR0B1,DHH,1
42465,MUTYH,KRAS,1
42466,F10,PLG,1
42467,MMP9,ANGPT2,1
42468,GLI3,RPA1,1
42469,MAPK3,TIMP1,1
42470,PRC1,BLM,1
42471,WT1,CCNA1,1
42472,NFKB2,TLR2,1
42473,PPARG,SOX9,1
42474,RET,CASP3,1
42475,HLA-A,CTLA4,1
42476,NCOA3,STAT6,1
42477,ERBB2,SMAD7,1
42478,BACH1,HMMR,1
42479,MDC1,FEN1,1
42480,FGFR1,WNT1,1
42481,CXCR3,PDCD1,1
42482,NF1,MDM2,1
42483,ERBB3,AKT3,1
42484,ALK,FBXW7,1
42485,LPL,NAMPT,1
42486,XRCC3,MTHFR,1
42487,MB,HMOX1,1
42488,HTR2A,NTRK3,1
42489,PTPRC,SELE,1
42490,NR4A1,MAP2K1,1
42491,CCR3,PTPRC,1
42492,EZH2,HIC1,1
42493,SHH,NOTCH3,1
42494,MMP3,SOX9,1
42495,CYP21A2,NR0B1,1
42496,JAK2,SETBP1,1
42497,RPSA,POLR3B,1
42498,MAP1LC3A,KEAP1,1
42499,GSTP1,COMT,1
42500,PSEN2,CASP3,1
42501,RAD51C,POLQ,1
42502,HSPA5,MAPK1,1
42503,STAT3,EPOR,1
42504,IGF2BP2,NOTCH2,1
42505,WT1,ALB,1
42506,IL17A,KLRK1,1
42507,S100A8,S100A7,1
42508,HIF1A,KLF5,1
42509,CRP,TNFRSF1A,1
42510,CD44,TLR2,1
42511,PRDX2,PEBP1,1
42512,MDC1,FUS,1
42513,NKX2-1,GNRH1,1
42514,STMN1,CCNB2,1
42515,CTTN,ARHGEF2,1
42516,TIA1,CD68,1
42517,PRKD1,PLCG1,1
42518,PTGS2,F2RL1,1
42519,RAD54B,XPC,1
42520,SMARCA4,RBL1,1
42521,HSPA4,XBP1,1
42522,LPP,CTNNA1,1
42523,BMP7,FN1,1
42524,NPM1,AURKA,1
42525,IL10,TP53,1
42526,FYN,FLT1,1
42527,AKT1,IL17A,1
42528,LYN,CTTN,1
42529,RAG1,IL4,1
42530,RAD51D,PCNA,1
42531,EDN1,LPL,1
42532,ANGPT1,ENG,1
42533,CTNNB1,EPCAM,1
42534,MT-ND2,COX5A,1
42535,MC1R,MLANA,1
42536,IFNG,CCL22,1
42537,PPARG,KEAP1,1
42538,ANGPT1,FGF7,1
42539,SATB1,TP53,1
42540,PRKCI,GLI1,1
42541,RHOA,STAT5A,1
42542,NCAM1,CXCR4,1
42543,TPX2,CSE1L,1
42544,AXIN1,MMP7,1
42545,CDC42,CDC6,1
42546,HRAS,IL17A,1
42547,MBL2,LGALS3,1
42548,EXT1,CDC73,1
42549,TBL1XR1,BCL3,1
42550,KLF4,CREBBP,1
42551,GSK3B,BCL3,1
42552,ELANE,MME,1
42553,CASP8,HSPA4,1
42554,MSH3,BARD1,1
42555,APP,IL18,1
42556,PCNA,XPC,1
42557,PDCD1,BCL2L1,1
42558,ENO2,TP53,1
42559,IFNG,CFTR,1
42560,BDNF,HSPA5,1
42561,WNT5A,IL1B,1
42562,PTK2B,TP53,1
42563,CXCL10,MAPK14,1
42564,ACTB,FOS,1
42565,IRS1,SYP,1
42566,MUC4,STAT3,1
42567,INS,ADAM12,1
42568,CEBPB,CRP,1
42569,FOXM1,LEF1,1
42570,ISG15,EPSTI1,1
42571,PLAU,NOTCH1,1
42572,SP1,CCNA2,1
42573,MCL1,EDNRA,1
42574,RHNO1,TP53BP1,1
42575,ETS1,IL7R,1
42576,TPX2,GMNN,1
42577,CXCR4,TBX1,1
42578,PROX1,NRP1,1
42579,EGR1,NGFR,1
42580,TP53,ITIH4,1
42581,F2,CEACAM5,1
42582,F2,THBS1,1
42583,CHUK,TP63,1
42584,ZNF217,BRMS1L,1
42585,HRAS,CHEK1,1
42586,STAT1,ALB,1
42587,TRPV6,STC1,1
42588,MTA1,TIMP2,1
42589,TWIST2,WNT5A,1
42590,ESR1,KIT,1
42591,CXCR4,IGF1,1
42592,STAT1,GAS6,1
42593,NFE2L2,EGF,1
42594,EZR,RHOC,1
42595,GATA3,PTH,1
42596,PTHLH,ETS1,1
42597,ESR1,SNAI1,1
42598,IL2RA,CCL11,1
42599,YY1,SMAD2,1
42600,CD24,FGF2,1
42601,NCAM1,ALK,1
42602,FOS,XBP1,1
42603,BRAF,TP53,1
42604,PECAM1,FGF7,1
42605,UHRF1,BIRC5,1
42606,CDH1,CDK4,1
42607,CD1D,ANPEP,1
42608,TSC1,STUB1,1
42609,ROCK2,APP,1
42610,FLT1,EGR1,1
42611,KDM1A,XPA,1
42612,HRAS,BNIP3,1
42613,HSPA8,EZR,1
42614,EML4,XPC,1
42615,PTEN,SHH,1
42616,SOCS1,CXCL10,1
42617,MBL2,SFTPC,1
42618,PECAM1,IL1A,1
42619,TLR2,HSPB1,1
42620,FOXP1,GRIN2B,1
42621,PTPN11,FGF8,1
42622,MYD88,NOS2,1
42623,BMP7,IL1B,1
42624,CD40LG,NFKB2,1
42625,MAP2K2,SOS2,1
42626,CTLA4,IGF1R,1
42627,CD44,IGFBP3,1
42628,NKX3-1,FOLH1,1
42629,SMARCA4,SUZ12,1
42630,PTHLH,CCL2,1
42631,SSTR2,IGF1,1
42632,PTEN,NGFR,1
42633,SMARCA4,NANOG,1
42634,ILK,TGFB1,1
42635,JUN,LGALS3,1
42636,CDKN2A,ALB,1
42637,IL6,YY1,1
42638,MCL1,CASP10,1
42639,TIA1,NCOA3,1
42640,BNIP3,DNMT1,1
42641,FOXP1,AURKA,1
42642,AKT2,MYCN,1
42643,INS,NR3C2,1
42644,S100A6,CALB2,1
42645,CDX2,KRAS,1
42646,ROBO1,SEMA3A,1
42647,GHRL,SCT,1
42648,PSMB5,ACTN4,1
42649,TNF,STAT5B,1
42650,ABL1,APP,1
42651,CASP8,PLK1,1
42652,EIF4EBP1,PRDX2,1
42653,LEP,TSC2,1
42654,APOB,MPO,1
42655,BCL2L11,DNMT1,1
42656,CAV1,F2R,1
42657,FOXM1,HNF1A,1
42658,CASP3,KIT,1
42659,MUC4,SMAD4,1
42660,PLG,NOS3,1
42661,YAP1,CDX2,1
42662,BRMS1,ZNF217,1
42663,RAD21,MCM5,1
42664,CDK1,CDKN2B,1
42665,FSHB,GH1,1
42666,FASN,MAPK3,1
42667,JAK3,NPM1,1
42668,DKK1,IL17A,1
42669,GADD45A,MBD4,1
42670,ATRX,CTCF,1
42671,CTLA4,CCL22,1
42672,RXRA,CYP24A1,1
42673,IL6R,ADAM17,1
42674,DDIT3,EIF2AK2,1
42675,IGF2R,IGFBP2,1
42676,ERBB2,RRAS2,1
42677,MSX1,FGF3,1
42678,MME,ITGA6,1
42679,MYC,TCF4,1
42680,LDLR,WNT3A,1
42681,CYP2D6,ABCG2,1
42682,MTOR,CAT,1
42683,ATAD2,BRD4,1
42684,TGFBR1,IGF1,1
42685,AR,CHGA,1
42686,PRF1,IL5,1
42687,CXCR4,MAPK14,1
42688,CTLA4,KIT,1
42689,PML,PER2,1
42690,GGT1,ALPP,1
42691,CD274,IL13,1
42692,HDAC1,NANOG,1
42693,RNF43,SMAD4,1
42694,HLA-A,MAGEA1,1
42695,CDKN1A,CYCS,1
42696,HLA-A,WDR11,1
42697,NAT1,GSTM1,1
42698,MUC5AC,CFTR,1
42699,CDKN1A,PGR,1
42700,IL6,FLT1,1
42701,IL13,GZMB,1
42702,TRAF6,CASP1,1
42703,ESR1,SOCS3,1
42704,MVP,ABCG2,1
42705,BCL6,CXCR3,1
42706,CXCR4,MYB,1
42707,KRT17,EGF,1
42708,GJA1,TGFB1,1
42709,CDKN1A,EGF,1
42710,MYH8,ACTB,1
42711,CEBPB,YY1,1
42712,ALK,EGF,1
42713,CCL5,TNFRSF1A,1
42714,ACP1,PTPN12,1
42715,BCL2L11,MDM2,1
42716,CDX2,TP53,1
42717,BGLAP,TGFB1,1
42718,BDNF,NOTCH1,1
42719,CDK1,EP300,1
42720,RDX,RHOC,1
42721,ALOX5,TP53,1
42722,TTC4,PES1,1
42723,SNCA,APPL1,1
42724,ERBB2,MLH1,1
42725,MAPK8,PKM,1
42726,SHC1,MST1R,1
42727,MTHFR,ALDH2,1
42728,DDIT3,ADIPOQ,1
42729,MCL1,PTP4A3,1
42730,NCOR2,BRMS1L,1
42731,VEGFC,TNFSF11,1
42732,BMP2,WNT10B,1
42733,CYP1A1,ALB,1
42734,INS,MAPT,1
42735,DDX3X,CASC3,1
42736,CCL3,PRF1,1
42737,AFP,CDH1,1
42738,FN1,TBX1,1
42739,TRAF3,MCL1,1
42740,GDNF,INS,1
42741,EDN1,MAPK7,1
42742,VEGFC,IL17A,1
42743,SRC,CXCL10,1
42744,JUND,HMOX1,1
42745,DMRT1,DHH,1
42746,IGFBP3,BGLAP,1
42747,FEN1,EP300,1
42748,MMP9,AHR,1
42749,CSF2,ERBB2,1
42750,GRB2,CSK,1
42751,MSH3,PTPN12,1
42752,BRMS1,NCOR2,1
42753,IL3,STAT3,1
42754,VCAM1,TLR2,1
42755,KDM5B,CCND1,1
42756,NF1,CAV1,1
42757,IL6R,IL1RN,1
42758,BRCA2,ERCC8,1
42759,ITGB3BP,CCNA2,1
42760,HMMR,UBE2T,1
42761,HP,AZGP1,1
42762,KRT8,CEACAM5,1
42763,ZEB2,AKT1,1
42764,HIF1A,RUNX2,1
42765,IGF2,SOCS1,1
42766,SEMA3A,NGFR,1
42767,TNFAIP3,WWOX,1
42768,MLANA,PAX8,1
42769,PECAM1,MPO,1
42770,FZD4,SNAI1,1
42771,AXIN2,GAPDH,1
42772,EPO,RPS6KB1,1
42773,CCL5,IDO1,1
42774,IL6,TBX1,1
42775,IL6,NFE2L2,1
42776,FSHB,RHO,1
42777,GFAP,PSEN2,1
